reviewer,id,full_text_file,doi,title,what species is the focus?,what lifestage is the focus?, where is the study located? ,what kinds of cover are described?,how is cover quantified?,"how is habitat use by fish measured (e.g., field method and metric)?",how does cover influence juvenile rearing? ,what are the primary drivers of juvenile rearing/presence/recovery? ,should this article be included in the final analysis?,Why? Use categories from SharePoint
PG,6,06_wilbur_2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,"brook trout, Atlantic salmon",parr,"Cains River, New Brunswick","habitat suitability curves were developed for velocity, temperature, depth, substrate","vegetation, gravel, bedrock, cobble","snorkelling surveys, thermal images to map cold-water anomalies as refugia during higher river temperature periods (>21C).",All fish groups showed a wide range of apparent substrate suitability,"small-bodied trout (8–30 cm) were observed in 80% of the thermal anomalies sampled, 100% of observed large trout (>35 cm) used 30% of the anomalies sampled and required water depths >65 cm within or adjacent to the anomaly. Salmon parr appeared to aggregate at 27C, 59% were found in 65% of the sampled anomalies; and densities were not significantly different within/ outside anomalies.",Y,3c
PG,7,07_brown_2024,10.1080/24705357.2022.2162987,"Chinook Salmon habitat evolution following river restoration, drought, and flood",Chinook Salmon ,spawning and rearing,"Merced River, California",no cover,no cover,"juvenile habitat suitabilty index, water depth and depth-averaged velocity outputs, curves were based on Cramer Fish Sciences (2018).","this study evaluated depth and velocity suitability pre and post restoration, stated importance of cover, but not included in models","restoration, the river channel was rescaled into a mosaic of riffles, pools and lateral bars (floodplain), following restoration, juvenile rearing habitat area more than doubled, increasing by 5.3 hectares, or 261%, compared to pre-project conditions",N,1a
PG,8,08_ahmadi-nedushan_2006,10.1002/rra.918,A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,NA,NA,NA,NA,NA,NA,NA,literature review of statstical approaches for habitat suitability ,N,5
PG,9,09_conallin_2010,10.1080/15715121003714936,Habitat suitability indices development in Denmark: are international indices applicable under small lowland stream conditions?,brown trout,large parr (7–20 cm in total length),"Langvad stream, Roskilde Fjord, Denmark",no cover,no cover,simulated physical habitat (depth and velocity) versus discharge relationships to calcuate the maximum WUA and the corresponding ‘optimum’ discharge,this study is a comparison of HSI transferability assessments based on a simple hierarchical literature review ranking system and model simulations,"not evlauted, biological and instream site physical (stream size and gradient, discharge) characteristics of a stream were more influential than area (local or international) for transferability of HIS",N,1a
PG,10,10_boessow_2021,10.1002/aqc.3431,Spawning habitat suitability for coastal cutthroat trout: Microhabitat and mesohabitat,cutthroat trout,spawning and incubation,"Skookum Creek, Puget Sound, Washington",no cover,no cover,"redd surveys of pool–riffle sequences, depth, velocity and substrate",juveniles not included,"Redds were distributed nonrandomly in relation to some variables at the microhabitat (depth, velocity, Froude number, and substrate) and mesohabitat scales (secondary and tertiary channel units nearest the HC, the lowest point on the highest ridge across the riffle that controls the water surface elevation in the upstream pool),",N,"1a, 4"
PG,11,11_naman_2020,10.1002/nafm.10411,Exploitation of Velocity Gradients by Sympatric Stream Salmonids: Basic Insights and Implications for Instream Flow Management,"coho, steelhead",juvenile,"Coquitlam River, British Columbia",no cover,"velocity gradients, did not record associations with cover, cobble–boulder-dominated river","snorkel survey, water depth and velocity",velocity gradients significantly influence habitat suitability metrics and the predicted effects of flow on habitat availability,Incorporating adjacent velocities within their foraging area into HSCs resulted in a ~40% (steelhead) and ~10% (Coho Salmon) increase in flows predicted to optimize habitat availability,Y,1b
PG,12,12_moniz_2021,10.1002/rra.3855,Chinook salmon rearing habitat-discharge relationships change as a result of morphodynamic processes,chinook,rearing fry,"Yuba River, California","Vegetation, human-built detritus (e.g., rip-rap, cement blocks), permanent cover features (e.g., bedrock outcrops, weirs, bridge piers), large coble substrate","cover features were digitized into rasters using airborne LiDAR, boat-based field reconnaissance and field surveys","Habitat suitability criteria (HSC) functions for depth, velocity, and cover type","At bankfull discharge, the percentage of area where there was a gain in vegetative cover was over 3x higher in gained microhabitat areas compared to lost microhabitat areas, changes in vegetative cover appeared to play a less significant role in explaining changes in habitat availability compared to changes in channel alignment and hydraulic conditions, particularly at baseflow and flood discharges","channel alignment, hydraulic conditions and vegetation ",Y,3a
PG,13,13_roni_2023,10.1002/tafs.10399,A comparison of methods for estimating juvenile salmon habitat capacity to assist with restoration planning and evaluation,Chinook,juvenile,"Grande Ronde River, Oregon","wood, boulder, fines",methods and models for estimating parr capacity or current abundance from published literature,"model comparisons: spatial stream networks, Quantile random forest, Unit characteristic method, Habitat expansion methods, habitat suitability index","For UCM, scalars with the greatest overall impact on capacity were boulder cover and fine sediment, reduction in parr capacity","habitat expansion approaches, which are based on detailed habitat surveys, appear to be particularly suitable for estimating capacity within a reach",Y,"3a, 3b"
PG,14,14_jelovica_2024,10.1016/j.ecolind.2024.111832,Atlantic salmon habitat-abundance modeling using machine learning methods,Atlantic salmon,juvenile,"Teno catchment, Finland and Norway","organic-silt-sand, gravel, cobble, stone, and boulder, shades types were mainly boulders and sometimes other structures such as large wooden debris, vegetation includes moss, algae, and other plants","substrate types, shade types, vegetation, and shelter index, shelter was estimated by visually identifying all potential interstitial spaces in the substratum","electrofishing, modeled habitat-abundance with Support Vector Regression (SVR), Random Forest (RF), Gradient Boosting (GB), and Support Vector Classification (SVC) and compared their performances","shelter index, algae, boulder shade, stone and organic substrate exhibit higher Pearson Correlation Coefficient values with parr abundance","models incorporating input variables such as substrate, shade, and vegetation demonstrate higher performance",Y,3a
PG,15,15_favrot_2018,10.1002/tafs.10011,Fall and Winter Microhabitat Use and Suitability for Spring Chinook Salmon Parr in a US Pacific Northwest River,chinook,parr,"Catherine Creek, Oregon","“no cover,” large wood (LW), small wood (SW), rootwad, emersed aquatic vegetation, submersed aquatic vegetation, terrestrial vegetation, undercut bank, and boulder","line transect survey of dominant substrate, dominant cover type, distance from cover, and distance from bank",Radiotelemetry of wild fish capture by screw trap,"Large wood, undercut bank, and rootwad were the most suitable cover types in the moderate-gradient reach, while LW was most suitable in the low-gradient reach. Small to moderate distances to cover (0.0–1.5 m) were most suitable in both the moderate- and low-gradient reaches. For both gradient types, distances near the riverbank (0.91–2.73 m) were most suitable.","near-cover coarse and fine substrates were most suitable in the moderateand low-gradient reaches, respectively, co-occurring deep depths supporting slow currents near cover were intensively occupied in the moderate-gradient reach, in the low-gradient reach co-occurring moderate depths, slow currents, and near-bank cover were most frequently occupied ",Y,3a
PG,16,16_heggenes_1990,10.1111/j.1095-8649.1990.tb04325.x,"Seasonal and spatial microhabitat selection and segregation in young Atlantic salmon, Salmo salar L., and brown trout, Salmo trutta L., in a Norwegian river","Atlantic salmon, brown trout",young,"Gjengedalselva River, Norway","any submerged structure (other than substratum) beneath which fish could be hidden from overhead view, undercut banks or overhanging vegetation < 50 cm above the water surface, water surface turbulence or broken water surface","habitat transects measured distance from river bank, total water column depth, surface water velocity, mean water column velocity, substratum composition, percentage cover",diving transects observed habitat selection,"slightly coarser substrates were utilized in summer and a higher degree of cover in winter, Atlantic salmon were found in areas with significantly more cover (primarily surface turbulence)","Water velocity appeared to be the most important variable determining fish position choice, depth was important in the second principal, substratum and cover were of comparatively less importance",Y,3a
PG,18,18_guay_2000,10.1139/cjfas-57-10-2065,Development and validation of numerical habitat models for juveniles of Atlantic salmon (Salmo salar),Atlantic salmon,juvenile,"Sainte Marguerite River, Québec",no cover,no cover,"snorkeling fish observations, water depth, current velocity, substrate size (D50), data was used in validation study","study evaluated the use of habitat probabilistic index (vs HSI) in forcasting fish distribution, habitat modeling","Fish preferentially used depth ranging from 0.3 to 0.7 m, current speeds ranging from 0.60 to 0.75 m·s–1, and substrate composition characterised by D50 values of 3.0–4.5 cm",N,1a
PG,19,19_wondzell_2007,10.1016/j.landurbplan.2006.10.012,"Simulating riparian vegetation and aquatic habitat dynamics in response to natural and anthropogenic disturbance regimes in the Upper Grande Ronde River, Oregon, USA","chinook, steelhead","migration, spawning, summer rearing, winter rearing","Upper Grande Ronde River, Oregon","Pools and pool-structure, shaded channels with cold water, and abundant riparian hardwoods, riffle habitat, deep pools with abundant structure, undercut banks, and clean gravels as well as off-channel habitat",qualitative four-factor habitat suitability scale based on personal experience and available literature,,cover not directly evaluated. Modeled the rate of recovery (different levels of suitability) under passive restoration,"evaluate the effects of natural disturbances and land-use practices, outcomes were channel morphology and riparian vegetation",Y,1b
PG,20,20_beecher_2002,10.1577/1548-8675(2002)022<0785:EODAVP>2.0.CO;2,Evaluation of depth and velocity preferences of juvenile coho salmon in Washington streams,coho,juvenile,"Satsop River, Washington",not described,not described,"snorkeling fish observations, water depth, velocity transects",Incorporation of substrate or cover preference did not improve the prediction of distribution.,preference for depths of 76–100 cm and velocities of 3–6 cm/s,Y,3c
PG,22,22_harrison_2011,10.1029/2009WR008926,"Channel dynamics and habitat development in a meandering, gravel bed river",chinook,spawning and rearing,"Merced River, California",no cover,no cover,"Topographic surveys during two flood events, water surface elevations, sediment flux and channel change, bed elevation, point values of flow depth and vertically averaged velocities","this study estimates changes in prefered habitat with changes in channel morphology, model assumed juveniles prefer very slow moving, deep water found in pools, channel margins, and off‐channel habitats. The decrease in predicted high‐quality juvenile habitat is due to the increased velocities found in pools","lack of low‐velocity refuge zones, sediment‐driven morphological changes (diversify river morphology, which acts to promote flow complexity) might not create bioenergetically favorable habitat for juveniles ",N,1a
PG,23,,,,steelhead,juvenile,"Russian River, California","woody debris, rootwads, overhanging banks, riparian vegetation","Habitat units were assigned a score from 1 to 3 (with 3 representing the highest habitat suitability) based on the availability of instream shelter (e.g., woody debris, rootwads, or overhanging banks) and presence of riparian vegetation cover that provided shade to the stream channel","depletion seineing with block nets in July and October, fish counts of deep pools, modeling of oversummer survival",the effects of summer habitat suitability and the pool habitat types were positive on oversummer survival ,"streamflow (higher:positive), land use (vineyard land cover had a significant negative association with survival, while other land use variables, including road density and rural residential development, did not have a significant effect), and habitat variables (positive), evidence of negative density-dependent effects of early summer fish abundance on oversummer survival",Y,3a
PG,30,,,,"alewives Alosapsuedoharengus,
American sand lances, Atlantic salmon, Atlantic tomcods, common mummichogs, winter flounder, American lobsters, softshell clams","adults, juveniles","Casco Bay, Sheepscot Bay, Maine","predominant substrate (mud, sand, gravel, rock, shell, vegetation) ","values from O to 1 were assigned to ranges of each environmental variable, depending on how favorable the range is for survival, growth, and reproduction","depth, salinity, temperature, substrate, habitat suitability index models ","Substrate and depth were judged to not be relevant for models of the pelagic species, alewives anrl Atlantic salmon, and were dropped from the final models",unclear - complex patterns of habitat use which apparently cannot be completely accounted for using the existing variables,N,1a
PG,46,,,,chinook,egg-to-fry survival,"Lewis River, Washington","riparian tree cover, %coniferous, conifer size","qualitative ratings for shade, pool forming conifer abundance, and large woody debris recruitment provided by riparian vegetation within 60 m of each bank",Egg-to-fry survival for Chinook and coho salmon and steelhead are predicted from empirical relationships derived from meta-analyses of published relationships between percent fine sediment in spawning gravels and survival of eggs to fry,"modeling focused on spawning, cover is used to model a riprian function score, which is an input to sediment and hydrologic models to determin % fine sediment deposited (only variable in egg-to-fry survival) and index of bed scour potential","egg-to-fry survival for Chinook salmon was predicted to be poor in the lower watershed in lower gradient areas where sediment scoured from higher gradients is deposited, and where concentrated roads contribute high levels of sediment",N,"2b, 4"
PG,49,,,,brook trout,11-14 cm,"True Brook, New York",no cover,no cover,"electrofishing, tagging, mark-recapture, depth, velocity, substrate, fish size ","recognized the limitation in the discussion - ""the absence of canopy cover as a habitat parameter within this study may be limiting our interpretation of differential habitat use among difference size classes of Brook Trout within our study streams""","Water depth was the most prominent habitat variable exhibited for Brook Trout habitat use, both size classes were more prevalent in pool habitats and were also found to occupy significantly deeper stream areas when compared to overall habitat availability, larger sized
Brook Trout were observed in significantly deeper stream habitats than younger fish demonstrating varying habitat use among different size-classes",N,1a
PG,50,,,,brook trout,,"Cascapedia River basin, Quebec, Canada","cover index, lareg woody debris, vegetation abundacne index, overhead opening","Abundance of submerged vegetation (moss or macrophytes) and overall availability of structural cover (rocks, woody debris, undercut bank, and overhanging vegetation) were estimated visually and assigned ordinal values reflecting areal coverage (1, ? 5%; 2, 6%–15%; 3, 16%–45%; 4, >45%).","single-pass electrofishing, fish size, water depth and substratum size",brook trout density was greater in sections with more woody debris and cover,"Brook trout density was positively related to woody debris and cover and negatively related to height increment at flood, valley width, and current velocity, but the relationship between brook trout density and current velocity varied markedly across reaches",Y,3a
PG,52,,,,"Redspot Chub , Bluegill, Smallmouth Bass, Northern Hogsucker, Rock Bass, Banded Sculpin, Largemouth Bass, Redhorses, Smallmouth Bass, Creek Chub, Warmouth, Redear Sunfish, Largemouth Bass, Northern Studfish, White Sucker, Spotted Bass, Spotted Sucker, White Crappie",subadult and adult,"Ozar Highlands, Oklahoma, Missouri",percent instream cover,surface coverage of emergent vegetation and large wood,"four-pass tow-barge electrofishing, groundwater flux (predicted thermal equilibrium water temperature against observed water temperature and atmospheric conditions), temperature, wetted channel width, mean thalweg depth, wetted width-todepthratio, wetted
area, bankfull width-to-depth ratio, depth, D50","final model included a bankfull W:D-percent instream cover interaction, species specific response, example - Banded Sculpin, Northern Hogsucker, Redspot Chub, Rock Bass, norther studfish, smallmouth bass occurance increased with increasing instream cover at lower bankfull W:D (relatively deeper, narrower channels)","fish occurance was associated with multiscale instream characteristics including groundwater contribution, an interaction between channel dimensions and the amount of instream cover, and habitat size.",N,4
PG,53,,,,"biomass, no species information","biomass, no life stage information","Alberta, Ontario, Que´bec, New Brunswick, Canada","cobble, boulder, metric boulder, bedrock, macrophyte, periphyton, woody debris, conductivity, temperature, and Secchi disk transparency","sediemnt (clay, silt,sand, gravel, pebble, cobble, boulder, metric boulder, bedrock) and biogenic features (percent coverage of macrophyte, periphyton, woody debris)","depth, velocity, wetted river width, sediment size, biogenic, and physico-chemical features, electrofishing and snorkelling ","Environmental variables such as transparency, woody debris, macrophyte, and PC3 (i.e., third principal component representing sediment size variability within a river) were selected in 26 % of the models","hydraulic conditions at the local scale, and in particular water velocity, were the dominant drivers, bed material sediment size was the second most important group of explanatory variables, biogenic and physico-chemical features explained a smaller fraction of within-river fish distribution patterns than hydraulic and sediment size features",N,4
PG,54,,,,"walleye, lake trout, smallmouth bass, yellow perch, rainbow trout",age-1,"Pine River, Michigan",no cover,no cover,"movement dynamics and growth rate as a function of habitat conditions, mesohabitat units (pool, riffle, run), food, denisty of conspecifics, temperature, tagging studies combined with experimental translocation",multi-species life cycle model comparison,model comparison,N,1a
PG,55,,,,Atlantic salmon,"young-of-the-year, parr, spawning adults","Romaine River, Canada","silt, sand, small gravel, coarse gravel, cobble, rock,boulder, bedrock",substrate diameter was evaluated by visual assessmentof the percentage of coverage of the four main grain sizes from eight categories,"expert opinion consesus to develop model rules, for example, rule #14, “medium substrate size –medium velocity – medium depth” is seen as a combination leading to a high HSI, and WUA–discharge curve",cover was not evaluated ,fish are more likely to be found in habitats with higher modeled HSI values,Y,1b
PG,58,,,,Atlantic salmon,juvenile,"Big Jonathan Brook, Quebec, Canada","presence of instream cover within a 15 cm radius of the location (unembedded rock >20 cm along the major axis, submerged vegetation or woody debris), presence of overhead cover (broken water surface, undercut bank, or overhanging vegetation)",presence of instream and overhead cover,"snorkelling, depth, current velocity, presence of instream and overhead cover, substratum particle size, and distance to stream bank",water greater than about 30 cm depth by active fish and for the presence of rocky cover by resting fish,water depth and the presence of an unembedded rock >20 cm were key predictor variables,Y,3a
PG,24,,,,Atlantic salmon,parr,"Bolstadbekken, Norway","any submerged structure (except substrate) beneath which fish could hide from a view overhead, undercut banks of over hanging vegetation <50 cm above the water surface, and broken water surface","viewing a rope from above, the percentage of the rope that was hidden from view in 10% increments ","stream width, depth, velocity, substratum particle size, hatchery fish (mean total length 30 mm) planted in the stream at 200, 400 and 700 experimental densities, experimental habitat sections electrofished, habitat variables associated with fish position were used to construct habitat-use curves ","surface turbulence was the most important type of cover, use of cover was variable an dfish wer most associated with habtiat areas with a small amount of cover","study parr occupied habitats with mean water velocities in the entire range 0-100 cm s-1, and with the highest densities in the range 20-50 cm s-1, tended to use smaller substrate, in particular cobble, areas with water depths 10-40 cm, ther prefernce zones for mean velocity and cover were wide, but no cover was used much less than would be expected from their availability",Y,3a
PG,25,,,,"chinook, longfinned eel, brown trout, torrentfish, uplandy bully, bluegilled bully",juvenile,"Rakaia River, New Zealand","Substrate:  mud, silt, sand, gravel, small cobbles, large cobbles, boulders , bedrock","cover not included in sampling, but noted for eels","transects, velocity, depth, substrate types, power station sshut down for at least 12 hours to reduce flows (measurements before and after shutdown)","Larger eels prefer deep, slow-flowing channels with cover such as debris clusters or overhanging banks containing submerged riparian growth, WUA decreased by 15-32% when substrate data were included in the analysis except for smaller chinook salmon, which lost 63-65% probably because of their greater preference for relatively large substrates","for eels optimum areas have cobble substrate, 0.5-1.0 m/s velocity, and less than 0.5 m water depth, primary model evaluated changes in WUA with flow, with decreasing discharge, losses of habitat in minor channels are offset by gains in major channels",N,1a
