new,reviewer,id,full_text_file,doi,title,what species is the focus?,what lifestage is the focus?, where is the study located? ,what kinds of cover are described?,how is cover quantified?,"how is habitat use by fish measured (e.g., field method and metric)?",how does cover influence juvenile rearing? ,what are the primary drivers of juvenile rearing/presence/recovery? ,should this article be included in the systematic review?,why? use categories from categories doc,updated why?
TRUE,LA,47,47_studdert_2015,10.1656/045.022.0409,Seasonal Variation in Habitat Use of Juvenile Steelhead in a Tributary of Lake Ontario,steelhead trout,rearing,"Trout Brook, NY","unclear; as far as I can tell, ""cover"" isn't explained further","fish location: percentage of substrate, surface, or overhead cover available for concealment around fish location, quantified in 5% increments as the total available cover surrounding the marker buoy within a radius of about 4 fish-lengths (aggregate concealment metric, rather than disaggregated by discrete structural types); available in habitat: measured along systematic transects across the stream reach",spot electrofishing used to locate fish and then record habitat condition at capture sites; habitat use was evaluated by comparing habitat used by fish with habitat availability across the reach,juveniles disproportionately used cover in all seasons; yearlings used more cover than subyearlings; cover use increased in autumn,"PCA identified cover and depth as the most influential habitat variables governing habitat selection; all drivers identified were cover availability, water depth, substrate size, and water velocity",yes - direct evaluation of fish behavior relative to cover,3a,
TRUE,LA,49,49_ecret_2013,,Brook Trout (Salvelinus fontinalis) Habitat Use and Dispersal Patterns in New York Adirondack Mountain Headwater Streams,brook trout,rearing (stream residents?),"True Brook, NY",substrate,not exactly a cover quantification; used median substrate size within a 1-m quadrat around observed fish locations,single-pass backpack electrofishing with mark-recapture tagging; fish capture locations were marked with floats and habitat variables were measured in a 1-m quadrat around the float,median substrate size was only a secondary influence,water depth was the strongest determinant of habitat use (fish were found most frequently in pool habitats with deeper water and lower velocities); other drivers were hydraulic habitat type (pools vs. riffles) and water velocity,maybe - only insofar as it is proof that a lot of habitat suitability work considers substrate but not other forms of cover,1a,4
TRUE,LA,50,50_deschênes_2007,10.1139/f07-053,Hierarchical analysis of relationships between brook trout (Salvelinus fontinalis) density and stream habitat features,brook trout,rearing (stream residents?),"Cascapedia River, Québec, Canada","large woody debris, ""structural cover"" (rocks, woody debris, undercut banks, overhanging vegetation)","count of large woody debris pieces and visual estimate of total structural cover on a binned scale (<=5%, 6%-15%, 16%-45%, 45%+) determined for each stream sampling section","single-pass electrofishing in stream sections (600 sections total) - all fish were captured, measured, and then released; fish density was calculated as total fish captured divided by section area",trout density increased with higher structural cover and greater woody debris abundance,"section-scale drivers were current velocity (negative), woody debris (positive), and structural cover (positive); reach-scale drivers were subbasin area, valley width (negative), and height increment at flood (negative)",yes - cover directly measured and related to fish density ,3a,
TRUE,LA,51,51_naman_2021,10.1139/cjfas-2020-0475,Diel patterns of foraging and microhabitat use by sympatric rainbow trout and bull trout: implications for adaptive differentiation and instream flow assessment,"rainbow trout, bull trout",rearing (juvenile),"Skagit River, BC, Canada","wood, overhanging vegetation, large substrate (>25cm providing interstitial refuge)",observational measurement: habitat surveys recovery cover as present or absent at each transect cell; experimental manipulation: artificial structures simulating woody debris cover (installed and then surveyed later to see if fish colonized them),"snorkel surveys (moved upstream, located fish visually, observed fish for 1-3 min, marked fish location with a washer, measured microhabitat variables at the washer)",daytime: fish were associated with structural cover; dusk: fish moved away from cover to drift forage; experimental cover: rainbow trout used it (if in energetically profitable feeding spots) but bull trout did not,"predation risk (structural cover availability), foraging profitability (drift abundance), water velocity, water depth, substrate size",yes - cover directly measured and related to fish presence,3a,
TRUE,LA,52,52_mollenhauer_2019,10.1643/CE-18-099,"Multiscale Habitat Factors Explain Variability in Stream Fish Occurrence in the Ozark Highlands Ecoregion, USA","no salmonids or trout! 20 warmwater stream fishes, e.g., different kinds of bass and chubs",mixed,,,,,,,no - no salmonids,4,
TRUE,LA,53,53_senay_2015,10.1007/s00027-015-0413-8,Identifying key environmental variables shaping within-river fish distribution patterns,"62 fish species across 16 families (community-level analysis), including Atlantic salmon and brook trout at some sites",not specific to life stage,"28 rivers across Canada (Alberta, Ontario, Québec, New Brunswick)","woody debris, macrophytes (aquatic vegetation), periphyton","visual estimation of percent cover measurements in quadrats - at each sampling site, respective percentages of macrophyte cover, periphyton cover, and woody debris cover was estimate in ten 50cm x 50cm quadrats and averaged across the site","biomass estimates through backpack electrofishing, snorkling - both methods employed at each sampling site and the larger estiate was retained","response variable was fish biomass (species biomass was calculated using fish counts, body length, and mass-length relationships); cover was included as a biogenic environmental feature but had relatively weak explanatory power","most important drivers were water velocity, water depth, and sediment size (substrate composition); biogenic variables explained about ~2% of biomass response",no - too many species included in general estimates of fish biomass and was not lifestage-specific,"kind of 3a/c (very weak relationship, bordering on no relationship), kind of 4",4
TRUE,LA,54,54_hayes_2009,10.1007/s11160-009-9103-8,Linking fish population dynamics to habitat conditions: insights from the application of a process-oriented approach to several Great Lakes species,"lake trout, rainbow trout (plus walleye, yellow perch, and smallmouth bass)",all ,"Lake Erie, Lake Superior, and their tributaries","macrophytes, substrate, woody debris",not directly measured in this study - cover was derived from previous empirical studies and incorporated as parameters in process-based population models linking habitat to vital rates,"not measured - this paper synthesizes models where habitat relationships were derived from previously published studies, empirical parameter estimates, and experimental data for certain species (e.g., rainbow trout growth experiments)","cover is discussed as influencing fish populations through mechanisms such as refuge from predators, feeding positions adjacent to currents, spawning habitat quality, and shelter for juvenile lifestages; but no empiricial statistical work is presented ","across models discussed in the paper, drivers are water temperature, water currents, substrate composition, habitat depth, macrophyte availability, food availability",no? it was a review paper that wasn't particularly focused on juvenile salmonids,5,1a
TRUE,LA,55,55_mocq_2013,10.1016/j.ecolmodel.2013.05.020,Assessment of Atlantic salmon (Salmo salar) habitat quality and its uncertainty using a multiple-expert fuzzy model applied to the Romaine River (Canada),Atlantic salmon,"rearing (young of year, parr), spawning","Romaine River, Québec, Canada",substrate,"for field validation, ""mean substrate diameter was evaluated by visual assessment of the percentage of coverage of the four main grain sizes from eight categories: silt, sand, small gravel, coarse gravel, cobble, rock, boulder and bedrock;"" classed into three classes for fuzzy rules: small, medium, large","partial validation of habitat suitability model by fishing with a variety of methods (hoop trap nets, gill nets, rods, seines, electrofishing) - I think this was a presence/absence thing, but the mechanism of validation isn't abundantly clear to me",larger substrate sizes contributed to higher HSI values; models were validated in that they predicted higher HSI values at sites where juvenile salmon were present compared to sites where they were absent,"water velocity, water depth, substrate size (used to define habitat suitability across discharge scenarios)","maybe? it was mostly about modeling a fuzzy-rules approach to habitat suitability curve development, which I guess is interesting for our purposes",3a (ish),1bi
TRUE,LA,57,57_mocq_2018,10.1111/fme.12262,Do habitat measurements in the vicinity of Atlantic salmon (Salmo salar) parr matter?,Atlantic salmon,rearing (parr),eastern Canada (three different rivers),substrate,"estimating the proportion of grain-size classes within 10-cm radius around measurement points, calculating a mean substrate size index based on weighted grain-size proportions",snorkeling (marked locations with painted stones and then measured environmental variables at fish position and surrounding area),"habitat suitability estimates improve when substrate, depth, and velocity were averaged across a 50-cm radius around the fish rather than measured only at the focal point - so it's less about how cover influences juvenile rearing and more about how we can produce habitat suitability estimates that capture actual conditions","substrate size, water velocity, and water depth considered main drivers in HSI",yes - interesting discussion of how the way that you measure environmental variables influences the validity of your HSI,3a,1b
TRUE,LA,58,58_turgeon_2005,10.1111/j.1365-2427.2005.01340.x,Predicting microhabitat selection in juvenile Atlantic salmon Salmo salar by the use of logistic regression and classification trees,Atlantic salmon,rearing (parr),"Big Jonathan Brook, Québec, Canada","unembedded rocks, woody debris, submerged vegetation, overhanging vegetation, broken water surface, undercut banks","presence/absence within 15-cm radius of sampling points; two types of cover recorded: instream (large rocks, submerged vegetation, woody debris) and overhead (broken water surface, undercut bank, overhanging vegetation","fish positions determined with snorkeling - diver located fish, observed fish for 3-5 minutes, marked fish location with stone, and then measured habitat variables; also classified fish behavior (active/foraging and resting/sheltering)","resting salmon were associated with rocky cover, active salmon were associated with deeper water rather than cover; presence of large rocks was the most influential predictor in classification tree models for resting fish","water depth, presence of rocky cover, current velocity, substrate size, distance to stream bank",yes - direct evaluation of fish behavior relative to cover,3a,
,LA,1,01_gard_2023a,10.51492/cfwj.109.12,Central Valley anadromous salmonid habitat suitability criteria,"Chinook salmon, steelhead trout","spawning, rearing (juvenile and fry)",California (Central Valley),"defined cover coding system (cobble, boulder, fine woody vegetation, fine woody vegetation + overhead, branches, branches + overhead, log, log + overhead, overhead cover, undercut bank, aquatic vegetation, aquatic vegetation + overhead, rip-rap)
","""The first step in the development of the cover criteria was to group cover codes, so that there were no significant differences within the groups and a significant difference between the groups, using Pearson’s test for association. Categorical data (substrate and cover) are developed into HSC by calculating the frequencies for each substrate or cover code, and then dividing the frequencies by the highest frequency cover or substrate code, so that the highest HSI value is 1.0. For the Sacramento River, effects of availability on cover use were addressed by subsampling equal areas with and without woody cover... This technique could not be used for the Yuba River and Clear Creek, due to the limited availability of woody cover. As a result, the HSI for each cover group was calculated by dividing the percent of occupied locations in each group by the percent of occupied locations in the group with the highest percent of occupied locations.""","spawning - wading and getting direct measurements at redds (shallow), video (deep)
rearing - snorkel surveys/SCUBA, depending on water depth (dropping numbered tags at fish locations, recording fish size/species/cover code, then measuring depth, velocity, and adjacent velocity at each tag; presence/absence includes sampling unoccupied locations)","juveniles showed preferences for branches, branches + overhead, logs, logs + overhead, undercut banks; natural complexity was important; in Clear Creek, cobble was also preferred/optimal","""for anadromous salmonids, preferred habitat conditions are assumed to translate into increased growth and survival"" (stated but untested assumption); paper suggests that cover allows for food availability via drift, using cover-provided velocity refuges; importantly, this paper evaluates habitat selection but not habitat's influence on fish outcomes (growth, survival, etc.)","yes - directly applicable, full treatment and discussion of cover related to observed Central Valley salmonid habitat preferences across multiple tributaries/rivers","3a, 5",
,LA,2,02_gard_2023b,10.51492/cfwj.109.14,Development of habitat suitability criteria for macroinvertebrate community metrics for use in habitat restoration projects,"Chinook salmon, a variety of macroinvertebrates (baetid, chironomid, hydropsychid)","rearing, indirectly as related to value of macroinvertebrate availablility",California (Sacramento River between Keswick Reservoir/Dam and Battle Creek),N/A - substrate discussed but not really a discussion of cover,N/A - cover not meaningfully defined or quantified,N/A - fish habitat use is not measured,N/A - not evaluated,N/A - paper frames macroinvertebrate biomass as a potential food limitation for juvenile salmonids but does not analyze juvenile rearing drivers directly,no - this paper is about macroinvertebrates and doesn't evaluate cover,1a,
,LA,3,03_maki-petays_2002,10.1139/F01-209,Transferability of habitat suitability criteria of juvenile Atlantic salmon (Salmo salar),Atlantic salmon,rearing,Finland,"cobble, but doesn't address cover more generally/meaningfully","substrate classified into size bins, dominant size class visually determined in quadrats below fish","methods varied by river - one river was a snorkel survey, the others were electrofishing","smaller salmon preferred finer substrate (large pebbles to boulders), larger salmon preferred coarser substrate (cobbles to boulders)","depth (larger fish use deeper water), substrate size classes depending on fish size, habitat availability (""river-specific differences in habitat use and suitability by salmon mainly reflect a concurrent change in habitat availability among the rivers"")",maybe - only insofar as it is proof that a lot of habitat suitability work considers substrate but not other forms of cover,1a,
,LA,4,04_kennedy_2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,"Atlantic salmon, brown trout","rearing (fry, parr)",Northern Ireland,"boulders, cobble","substrate classified into 5 categories (modified Wentworth; ""stream bed cover""), boulders described by size and density of placement","semi-quantitative electrofishing  (5-min timed samples with single-anode backpack); metric was number of 0+ fish per 5 min; also measured fork length
also quantitative electrofishing (stop netted section with a minimum of 3 passes); density estimates created with Zippin removal method",deflector sites with the greatest substrate heterogeneity had the greatest fish density; boulder sites had fewer fish but still more than control sites,"enhanced substrate heterogeneity (mechanisms are territory availability, hydraulic refuge, predator cover), general habitat enhanced (restoration in this research was in degraded, channelized areas), immigration/redistribution (enhanced sites may provide habitat for downstream migrants rather than increasing local recruitment)","yes - good treatment of boulders, explicitly focused on restoration actions",3a,
,LA,5,05_braaten_1997,10.1002/(SICI)1099-1646(199707)13:4<345::AID-RRR445>3.3.CO;2-0,Development and evaluation of bioenergetic-based habitat suitability criteria for trout,"rainbow trout, cutthroat trout",rearing,"Wyoming (Green River, Dirtyman Fork)",N/A - cover discussed narratively in describing sites but not given any treatment beyond that,N/A - cover not meaningfully defined or quantified,"radiotelemetry with bidirectional loop antenna and triangulation for rainbow trout (accurate to 2.7m circular radius), visual observation (from bank and snorkeling) for cutthroat trout",N/A - not evaluated,"profitable velocity - feeding efficiency changes with fish size, affecting optimal velocities and energy balance; desirable depth (combined with profitable velocity) important and infrequent for cutthroat, prompting fish to occupy suboptimal locations due to depth restrictions; substantial individual variation observed",no,1a,
,LA,6,06_wilbur_2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,"Atlantic salmon, brook trout","rearing (parr), adults","New Brunswick, Canada","substrate (divided into 20-cm width bins), vegetation, woody debris",not directly quantified; wrapped into a composite substrate index created with Instream Flow Incremental Methodology,"snorkel surveys conducted during ""high temperature"" events, fish locations and behavior (stationary vs. feeding) noted, fish length estimated",N/A - not evaluated; study's focus was thermal refugia,"cold water refugia availability (sought by brook trout of all sizes when ambient temp >21C and salmon parr when ambient temp >25C), deep water availability for large-bodied fish, velocities in certain ranges; no substrate preferences observed",no,1a,3c
,LA,7,07_brown_2024,10.1080/24705357.2022.2162987,"Chinook Salmon habitat evolution following river restoration, drought, and flood",Chinook salmon (fall run),"spawning, rearing","Merced River, California",N/A - cover discussed narratively in describing site but not given any treatment beyond that,N/A - cover not meaningfully defined or quantified,snorkeling (redd surveys),N/A - not evaluated,habitat restoration creating more suitable habitat; important design features included flow reversals with riffle pool maintenance mechanism embedded in design,no,1a,
,LA,8,08_ahmadi-nedushan_2006,10.1002/rra.918,A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,"N/A - review paper, multiple species discussed but no particular focus",N/A,N/A - review paper,"cover mentioned as habitat variable in HSI models but isn't the main focus; studies reviewed considered general ""cover,"" woody debris, substrate composition, vegetation)","N/A - mentions cover as categorical variable in some models and percentage coverage in others, but no detailed protocols",N/A - discusses presence/absence and abundance data across studies but provides no detailed field protocols,N/A - not directly addressed; paper focuses on statistical methodology rather than ecological mechanisms,"most frequently significant variables are depth, velocity, temperature, substrate composition; woody debris was significant in some studies; cover area/percentage important for some species; spawning substrate important","yes - an interesting discussion of statistical methods for assessing habitat suitability, challenges common basic methods that assume independence despite common multicollinearity",5,
,LA,9,09_conallin_2010,10.1080/15715121003714936,Habitat suitability indices development in Denmark: are international indices applicable under small lowland stream conditions?,brown trout,rearing (large parr),Denmark,N/A - not discussed,N/A - cover not meaningfully defined or quantified,"varied by paper - predominantly electrofishing, but some snorkeling as well",N/A - not evaluated,depth and velocity within suitable species-specific ranges,yes - good discussion of the degree to which HSIs transfer (or not) across geographies and how selecting an HSI computational method for a given location should be done,5,1a
,LA,10,10_boessow_2021,10.1002/aqc.3431,Spawning habitat suitability for coastal cutthroat trout: Microhabitat and mesohabitat,cutthroat trout (coastal),spawning,"Skookum Creek, Washington",N/A - substrate discussed but not really a discussion of cover,N/A - cover not meaningfully defined or quantified,"weekly redd surveys accompanied by site characterization (depth, velocity, substrate, position)",N/A - not evaluated,"proximity to hydraulic controls, RRD (0.05-0.10), depth (21-24cm), velocity (61-64 cm/s), and medium gravel substrate",maybe - discusses how habitat suitability should be characterized with variables across nested spatial scales,1a,
